geometry;name;indexOfID;id
MULTIPOLYGON(((7163910.13537074 664107.710060694,7163949.48308919 664115.095035568,7163994.52543237 664146.683090748,7164050.16810677 664222.3596045,7164106.74891966 664292.012600231,7164170.70764996 664319.526958343,7164255.99276989 664355.058292004,7164302.21817548 664360.801724626,7164376.54158943 664382.408986209,7164427.39512037 664429.58733461,7164498.40216168 664510.629745379,7164532.34356845 664539.501934223,7164552.40103207 664581.128089867,7164575.62551782 664644.336308112,7164612.47706044 664714.623283107,7164661.63402482 664760.055294075,7164731.84103965 664767.82473546,7164879.27184341 664770.504669303,7165025.96701156 664763.704327238,7165191.50390697 664758.000808619,7165385.18116526 664764.708111705,7165474.53992952 664749.433077475,7165554.29102033 664748.693002409,7165623.26043928 664786.619472007,7165677.42947875 664844.189985591,7165714.3551847 664908.437538299,7165767.99102602 664939.274862531,7165832.10886192 664953.870327554,7165875.87122 664950.957580925,7165961.51895934 664958.919637516,7166116.61689587 664966.878812777,7166244.97064054 664987.433813451,7166349.52420186 664991.321375307,7166476.38586497 664994.611572877,7166549.10945268 665007.586800806,7166605.46458378 665026.386091603,7166646.74291848 665017.415528127,7166692.45704209 664995.572163514,7166751.75591927 664984.233186701,7166806.22352141 665017.674804194,7166836.46320882 665068.053457375,7166887.32365549 665185.07554443,7166939.5817819 665258.148753374,7166990.86853975 665339.829178408,7167019.02643687 665420.359000089,7167053.34774613 665487.173821062,7167082.27652226 665505.634798886,7167094.30013196 665509.802337476,7167077.83657418 665586.513555168,7167071.88592903 665673.01888667,7167102.72151918 665741.197649201,7167122.50151928 665848.435524984,7167060.59381038 665927.704346782,7167034.47991302 666002.52676545,7167062.6621885 666087.006626267,7166927.08715341 666211.089941807,7166838.70798573 666263.084573038,7166722.85743172 666303.284025423,7166656.54463988 666409.453891815,7166537.45061452 666514.95243151,7166457.42643926 666613.595419714,7166236.7627799 666788.994378364,7164667.29670972 667322.875711898,7164441.89927425 667550.332983072,7164322.13158583 667451.645999942,7164286.24454412 667464.260315718,7164246.60729359 667516.025760732,7164268.76082927 667562.031385973,7164317.82286468 667600.21117036,7164362.72779952 667646.503993042,7164355.68010126 667689.70154762,7164302.51842109 667719.241202832,7164200.32277637 667748.804855254,7164194.08386238 667697.114518208,7164152.48058839 667342.089071527,7164126.78576663 667084.241918768,7164108.25331863 666938.545951442,7164079.50132896 666839.06067647,7164019.54579146 666748.876055666,7163762.80655325 666371.775526864,7163396.32025282 665771.362223413,7163094.22417838 665334.476329436,7162871.0630383 664943.738846246,7162849.6668289 664783.284255325,7162857.58664237 664716.352484821,7162950.30617371 664497.712209421,7163078.80702345 664174.892977992,7163092.00807233 664119.623728352,7163167.80512289 664173.531858043,7163283.70472955 664228.408001296,7163368.10511465 664266.516792622,7163465.59940161 664284.95417304,7163584.77180738 664283.845893482,7163700.17011887 664311.13137994,7163735.37984402 664305.53091734,7163791.50012848 664273.465400715,7163823.14740799 664210.075592011,7163844.38714181 664156.037279763,7163874.82954855 664120.209279163,7163910.13537074 664107.710060694)));Caximba;14;79
MULTIPOLYGON(((7167433.33822329 662804.372078312,7167450.32912238 662861.697344251,7167483.87043181 663011.371028976,7167436.6536838 663015.102439196,7167391.88332538 663014.463937411,7167388.70447485 663014.414975266,7167398.35316719 662822.497911758,7167433.33822329 662804.372078312)));Escola Estadual Professora Elena Wysocki;15;107
MULTIPOLYGON(((7167717.51805796 663412.967815318,7167763.34938838 663444.510710667,7167746.06123165 663466.669976871,7167725.46905439 663452.946150964,7167723.29874877 663454.667436157,7167700.32995771 663437.810418076,7167717.51805796 663412.967815318)));Giona Materiais de Construção;16;108
MULTIPOLYGON(((7165920.89727931 664958.707387644,7166121.41676999 664980.940226182,7165891.745065 665749.050752751,7165954.0447362 665833.94805014,7165729.66445509 666151.75211261,7165681.81938673 666124.035477235,7165603.41307541 666103.972817734,7165585.24935855 666094.706399559,7165493.18027839 665971.010176911,7165487.64390632 665961.90151767,7165493.69381921 665929.836175046,7165505.03336488 665908.895215154,7165552.23290687 665855.135443626,7165572.63279729 665818.327165842,7165665.95540304 665681.514072634,7165699.53892902 665600.132767066,7165790.71173252 665306.289453156,7165891.86313201 665009.462644008,7165908.5076899 664971.541031245,7165920.89727931 664958.707387644)));Vila Juliana;17;110
MULTIPOLYGON(((7167463.58681093 663721.06658644,7167501.09522356 663750.106869658,7167473.10557209 663787.523198792,7167409.05718414 663748.291967236,7167463.58681093 663721.06658644)));Unidade de Pronto Atendimento - UPA;18;111
MULTIPOLYGON(((7167608.69363947 663710.846323922,7167645.31953783 663739.584690334,7167623.62333134 663767.917392547,7167588.2463051 663739.425386903,7167608.69363947 663710.846323922)));Centro de Educação Infantil - CMEI Jd. Planalto;19;112
MULTIPOLYGON(((7167588.2463051 663739.425386903,7167623.62333134 663767.917392547,7167635.47055017 663777.455617639,7167630.28362102 663785.749668042,7167660.54343256 663808.754363717,7167652.19740208 663812.689992764,7167640.89058539 663816.860422999,7167586.48412281 663838.562362221,7167525.03744048 663823.793012128,7167588.2463051 663739.425386903)));Escola Municipal Sebastião Tavares da Silva;20;113
MULTIPOLYGON(((7168278.10215274 661894.907722985,7168286.12245917 661896.753182523,7168296.78266101 661901.061831426,7168305.15252055 661906.960035221,7168331.99105105 661926.41364808,7168368.51551333 661952.856510429,7168375.93725425 661959.28572985,7168380.95392331 661965.806264823,7168384.86978649 661974.48334396,7168387.51295733 661988.519534667,7168387.21004462 662001.585629872,7168382.76609039 662014.470762857,7168375.14939584 662024.072457621,7168366.20379798 662032.723704911,7168355.01748568 662037.97225175,7168347.21880004 662039.766018593,7168334.61172621 662040.68757143,7168319.79615893 662036.468892532,7168273.42556125 662004.38089461,7168237.83162687 661977.949367169,7168231.50886858 661969.514349155,7168225.10586225 661955.834443406,7168224.02626339 661945.313386088,7168226.37818182 661928.635775928,7168232.14595753 661917.113008868,7168237.17896331 661910.4434831,7168245.98338532 661902.463605466,7168261.59735022 661896.595742236,7168267.65541398 661894.911349036,7168278.10215274 661894.907722985)));Pista de Atletismo Parque Cachoeira;21;115
MULTIPOLYGON(((7168274.75408471 661906.048070533,7168285.04177877 661908.192334984,7168292.50785809 661910.97537859,7168303.00360309 661918.788054078,7168316.01791656 661928.108103774,7168330.63303252 661938.79378298,7168347.88815011 661951.932647361,7168361.97356752 661961.53702232,7168369.52794087 661968.902128523,7168373.58001765 661977.309617574,7168377.08457652 661986.102245713,7168375.97067992 662001.177701859,7168372.37994132 662009.492253242,7168368.41341027 662015.913593925,7168363.13748576 662020.691563634,7168352.99803046 662027.309052015,7168340.91403686 662029.854372373,7168327.26198712 662028.342159425,7168315.29100644 662021.596393055,7168275.9635392 661993.361310914,7168251.92836086 661975.689694764,7168244.50980498 661968.999366934,7168238.70723351 661961.514983089,7168235.46401759 661952.183153742,7168235.33898565 661940.598790317,7168237.37109073 661928.357535189,7168242.82092758 661920.206293932,7168248.25888184 661913.943519489,7168255.6837345 661909.181630016,7168265.23276693 661906.474815968,7168274.75408471 661906.048070533)));Parque Cachoeira;22;116
MULTIPOLYGON(((7170387.1218136 663551.491989692,7170525.95191758 663637.424580563,7170583.6093304 663640.513545951,7170592.72510193 663670.426927758,7170588.57933358 663718.45430856,7170551.06534664 663716.004215054,7170545.17716269 663745.331410037,7170493.84406705 663902.830745189,7170495.51229098 664107.632497921,7170507.30077876 664303.61683917,7170333.4377716 664313.58143814,7170157.24166211 664319.588298912,7169766.49359312 664316.549713417,7169681.15372976 664312.38300842,7169678.05345988 663696.461303799,7169633.17328242 663693.940858728,7169631.33882147 663640.347809999,7169688.64491673 663638.670280806,7169688.22763593 663544.504466282,7170387.1218136 663551.491989692)));Araucária Nitrogenados - FAFEN-PR;23;139
