stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2452,120370,"Rua Pedro Spisla Filho, 336- Santa Candida",280 - Nossa Senhora de Nazeré (Ponto Final),-25.370463571361,-49.237615446067,,,0,,,
2465,130867,"Rua Menezes Dória, 1 - Cabral",285 - Juvevê / Água Verde (Ponto Final - Juvevê).,-25.4125021,-49.2463512,,,0,,,
2654,109043,Estação Tubo CIC Norte,Estação Tubo CIC Norte 304-Pinhais / C.Comprido (Ponto Final),-25.449625864526,-49.353856209822,,,0,41752,,
2676,109143,Terminal Pinhais - 304 - Pinhais / Campo Comprido,Terminal Pinhais -304 - Pinhais / Campo Comprido (Sentido Campo Comprido),-25.4401504,-49.1830858,,,0,14524,,
2725,109036,Estação Tubo Marechal Deodoro,Marechal Deodoro - 305 - Centenário (Sentido Centenário).,-25.429041275347,-49.26358168158,,,0,41862,,
2874,140436,"Rua Pedro Violani, 1828 - Cajuru",321 - Trindade (Ponto Final),-25.457267664351,-49.20136882209,,,0,,,
3244,110404,"Rua Maria Clara, 248 - Alto da Glória",360 - Novena(Ponto Final),-25.4210706,-49.2618388,,,0,,,
3280,180072,"Rua Benjamin Lins, 25 - Batel",Ponto de Parada 365-Jd Social-Batel (sentido jd social) 370 - Rua XV / Barigui (sentido Rua XV) 389 - Madrugueiro Tarumã / Augusta (Sentido Bairro Alto) 801 - Campina do Siqueira / Batel (Ponto Final) 860 - V. Sandra (Sentido Praça Rui Barbosa) 861 - Tramontina (Sentido Praça Rui Barbosa),-25.439296738155,-49.279780403705,,,0,,,
3300,130475,"Rua João Dalegrave, 326 - Bacacheri",365 - Jd Social / Batel (Ponto Final - Jardim Social),-25.416109882142,-49.224128549074,,,0,,,
3331,180936,"Avenida Vicente Machado, 1432 - Centro",366 - Itupava / Hospital Militar (Ponto Final) 378 - Inter Hospitais (Hospital Militar) 380 - Detran / V. Machado (Sentido Detran) 393 - C. Imbuia / Parque Barigui (sentido C. Imbuia),-25.438514457376,-49.290079925131,,,0,,,
3351,130868,"Rua Maria Ficinska, 382 - Tarumã",366 - Itupava / Hospital Militar (Ponto Final - Itupava),-25.431792794865,-49.232007139951,,,0,,,
3377,130899,"Rua Marechal Deodoro, 2834 - Centro",370 - Rua XV / Barigui (Ponto Final - Rua XV),-25.428141625064,-49.246864643517,,,0,,,
3559,110081,"Av. Silva Jardim, 5129 - Água Verde",265 - Ahú / Los Angeles (Sentido Ahú) 378 - Inter Hospitais (Hospital Pequeno Príncipe),-25.443193510851,-49.276324538643,,,0,,,
3623,130312,"Av. Nossa Senhora da Penha, 295 - Cristo Rei",Ponto de Parada 385 -Cristo Rei (ponto final),-25.438976914005,-49.234727130059,,,0,,,
3713,140942,"Rua Pedro Violani, 1 - Cajuru",387 - Palotinos (Ponto Final),-25.462408442295,-49.217555388955,,,0,,,
3755,130877,SITES - 594 - Menonitas,SITES 594 - Menonitas.,-25.4293412,-49.2497594,,,0,,,
3830,140584,"Rua Professor Paulo D'Assumpção, 1250 - Uberaba",461 - Sta.Bárbara (Ponto Final),-25.47430622144,-49.218318734359,,,0,,,
3882,140590,"Rua Artur José Nísio, 167 - Uberaba",462 - Petrópolis (Ponto Final),-25.480248049753,-49.20951537791,,,0,,,
3982,190908,"Rua Alcides Munhoz, 1235 - Mercês",464 - A.Munhoz / J. Botânico (Sentido J. Loureiro),-25.418882900725,-49.299594651521,,,0,,,
4035,140603,"Rua Doutor Ovande do Amaral, 81 - Jardim das Américas",465 - Erasto Gaertner (Ponto Final),-25.4533969,-49.2399949,,,0,,,
4061,140962,"Rua Evaristo F. F. da Costa, 407I - Centro Politécnico",466 - Estudantes (Ponto Final ),-25.4500028,-49.2312375,,,0,,,
4199,140722,"Rua Raul F. Leite, 1 - Guabirotuba",470 - Guabirotuba (Ponto Final),-25.466829342709,-49.235387012269,,,0,,,
4247,140818,"Rua Rosa Sahagof, 213 - Uberaba",471 - V. São Paulo (Ponto Final),-25.493366300218,-49.223020542957,,,0,,,
4416,140871,"Rua Tenente Antônio Miranda Marquês, 304 - Uberaba",475 - Canal Belém (Ponto Final),-25.502436767747,-49.214666327613,,,0,,,
4661,106106,Terminal Sítio Cercado - 548 - Osternack / Sítio Cercado,Terminal Sítio Cercado 548 - Osternack / Sítio Cercado X24 - Reforço Sambaqui,-25.534265877458,-49.267778424572,,,0,14492,,
4664,160756,"Rua Itaguaje, 224 - Ganchinho",535- Osternack / Boqueirão (Ponto FInal).,-25.5524106,-49.2543398,,,0,,,
4939,140032,"Av. Senador Salgado Filho, 1464 - Prado Velho",516 - Canal Belém/ Salgado Filho ( Ponto Final- Salgado Filho ) 471 - V. São Paulo (Sentido V. São Paulo) 472 - Uberaba (Sentido Uberaba),-25.469364306191,-49.239986679762,,,0,,,
5016,150808,"Rua Professor João Ducke Filho, 78 - Xaxim",522- Maringá (Ponto Final).,-25.5198196,-49.2691218,,,0,,,
5109,160152,"Rua Cinco de Maio Dia do Expedicionário, 102 - Alto Boqueirão",532 - Jd. Paranaense (Ponto Final).,-25.538863090624,-49.244614258896,,,0,,,
5151,160217,Rua Maria Marques de Camargo - Alto Boqueirão,533 - E.Veríssimo/Pantanal ( Ponto Final - Pantanal ).,-25.5363365,-49.2322354,,,0,,,
5346,106114,Terminal Sítio Cercado - 545 - Trabalhador - 540 - Boqueirão / Kraft,Terminal Sítio Cercado - 545 - Trabalhador (Sentido Fazendinha) 540 - Boqueirão / Kraft (Sentido Kraft),-25.534325908086,-49.26782333317,,,0,14492,,
5452,106108,Terminal Sítio Cercado - 545 - Trabalhador,Terminal Sítio Cercado 545 - Trabalhador (Sentido Boqueirão).,-25.534335152878,-49.268083819084,,,0,14492,,
5661,150628,"Rua Padre Manuel da Nóbrega, 1357 - Fanny",561-Guilhermina (Ponto Final),-25.4874457,-49.2772269,,,0,,,
5721,160767,"Rua Lupionopolis, 508 - Sítio Cercado",594 - Menonitas (Ponto Final).,-25.540147827542,-49.262902085914,,,0,,,
6369,105805,Terminal Portão - 615 - Uberlândia,Terminal Portão 615 - Uberlândia.,-25.4762902214,-49.292300398777,,,0,14499,,
6521,170302,"Rua Primo Lourenço Tosin, 1083- Novo Mundo",620- Sta Cruz (Ponto Final) 628- Carbomafra (Sentido Terminal Capão Raso).,-25.4957214,-49.3023882,,,0,,,
6560,180304,"Rua Deputado João Ribeiro Júnior, 135 - Cidade Industrial",622- Rondon (Ponto Final);,-25.4982307,-49.330714,,,0,,,
6587,170209,"Rua Jaime Rodrigues da Rocha, 1745 - Capão Raso",623 - Parque Industrial (Ponto Final).,-25.516274777827,-49.31131427057,,,0,,,
6616,150443,"Rua Laudelino Afonso da Rocha, 204 - Xaxim",624 - Vila São Pedro (Ponto Final),-25.520766441859,-49.270006893848,,,0,,,
6915,170258,"Rua Nita Hubel, 281 - Pinheirinho",623 - Parque Industrial ( Ponto Final - Quartel) 632 - Quartel General (Ponto Final).,-25.529320880788,-49.300780326879,,,0,,,
6940,150538,"Rua Miguel Raicoski Sobrinho, 120 - Pinheirinho",633 - Maria Angélica (Ponto Final).,-25.527413449076,-49.274282413353,,,0,,,
6985,160147,"Rua Inajá, 917 - Pinheirinho",636 - Rio Negro (Ponto Final),-25.545214049923,-49.29068372576,,,0,,,
